rain_bucket_mm,predicted_speed_drop_pct,predicted_aqi_drop_pct,predicted_congestion_bump_pct,confidence_score,sample_size,trained_at
1.0,12.037011743075658,3.9748154835626743,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028505+00:00
2.5,12.037011743075658,9.937038708906693,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028513+00:00
5.0,12.037011743075658,19.874077417813385,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028520+00:00
10.0,12.037011743075658,39.74815483562677,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028526+00:00
15.0,12.037011743075658,59.62223225344015,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028532+00:00
20.0,12.037011743075658,79.49630967125354,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028538+00:00
25.0,12.037011743075658,90.79475884520512,6.779123042969481,0.1,1000,2026-06-26T20:01:32.028553+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-28T20:01:20.445423+00:00
1.0,26.439348223244274,9.605281386786094,13.380608414553237,0.1,1000,2026-06-28T20:01:20.445448+00:00
2.5,69.6716552965409,24.013203466965233,36.7696627346125,0.1,1000,2026-06-28T20:01:20.445457+00:00
5.0,69.6716552965409,48.02640693393047,58.04003325409278,0.1,1000,2026-06-28T20:01:20.445463+00:00
10.0,69.6716552965409,83.81917853303709,58.04003325409278,0.1,1000,2026-06-28T20:01:20.445469+00:00
15.0,69.6716552965409,83.81917853303709,58.04003325409278,0.1,1000,2026-06-28T20:01:20.445475+00:00
20.0,69.6716552965409,83.81917853303709,58.04003325409278,0.1,1000,2026-06-28T20:01:20.445480+00:00
25.0,69.6716552965409,83.81917853303709,58.04003325409278,0.1,1000,2026-06-28T20:01:20.445497+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-06-30T20:01:24.749155+00:00
1.0,5.5429191991136735,12.308482641224847,2.665407571525712,0.1,1000,2026-06-30T20:01:24.749179+00:00
2.5,20.436290204760606,30.77120660306212,11.45626125637267,0.1,1000,2026-06-30T20:01:24.749188+00:00
5.0,62.80255443277599,61.54241320612424,38.888330271273304,0.1,1000,2026-06-30T20:01:24.749194+00:00
10.0,68.14029743224272,88.1169064662864,55.84962681583798,0.1,1000,2026-06-30T20:01:24.749201+00:00
15.0,68.14029743224272,88.1169064662864,55.84962681583798,0.1,1000,2026-06-30T20:01:24.749207+00:00
20.0,68.14029743224272,88.1169064662864,55.84962681583798,0.1,1000,2026-06-30T20:01:24.749213+00:00
25.0,68.14029743224272,88.1169064662864,55.84962681583798,0.1,1000,2026-06-30T20:01:24.749229+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-07-01T20:01:22.966333+00:00
1.0,14.189998264386332,0.0,7.57867546431887,0.1,1000,2026-07-01T20:01:22.966359+00:00
2.5,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966367+00:00
5.0,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966373+00:00
10.0,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966379+00:00
15.0,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966385+00:00
20.0,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966391+00:00
25.0,20.667257425876183,0.0,11.233536200401197,0.1,1000,2026-07-01T20:01:22.966409+00:00
0.0,0.0,0.0,0.0,0.1,1000,2026-07-02T20:01:43.927110+00:00
1.0,18.51021459175462,6.141895578280331,9.902148435067438,0.1,1000,2026-07-02T20:01:43.927137+00:00
2.5,18.51021459175462,15.354738945700847,9.902148435067438,0.1,1000,2026-07-02T20:01:43.927145+00:00
5.0,18.51021459175462,30.709477891401676,9.902148435067438,0.1,1000,2026-07-02T20:01:43.927151+00:00
10.0,18.51021459175462,61.41895578280335,9.902148435067438,0.1,1000,2026-07-02T20:01:43.927157+00:00
